Aug 14 21:46:05.007 INFO Logging to file                         path: "/data/FULLNODE/FULLNODE/lighthouse/beacon/logs/beacon.log"
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1741326, pubkey: 0xaa40ddacf8640c5e91066d20f3948af85062e129aeff46f1412fbf4cfbf8a090ef017c5822a4cd307db24f37ab961509, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794110, pubkey: 0x8fc8225d3c168ac065b9a5c7141d1904ed47aa0a6882deae5685a1a7db1dd75dfc2cc84cea649eb370686037ad8901e3, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794247, pubkey: 0xb5a8a1b704c74c3c9bc2e76e469c53733a6950c43fbc4feb91bc600883edf6fd63cfb07e9a9ee3487f675219c416d5b6, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793943, pubkey: 0xa6ae3d325e94e1a4fa6d34c0fc26e7cecf024df785fab56ae3dbf5f18ebeeb2d2af282f26524aa75254a34d9aec8145c, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794241, pubkey: 0x96ba27c1568a965cf5cdd2b4fc368dd9e930eb6322f3f4571c4918b07b60d6c241a604228bf36c5451b9f5c7a3a6fbe9, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793947, pubkey: 0xb6631801f0b00deaca8097e76533ddc27fa0b370fc821152a9ef86d10af6a9fd38c96e324886d30d3ce91c2ec48387ca, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794245, pubkey: 0xb67975ca6cf92cd9b6a9e7f56b17a5fcb6f40cb4edf1df50faab178a4f5f7807938680597dd971ca1f7e39c642694b80, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794233, pubkey: 0x8c99b20f92ec4f817a6234dbcdabe44c50b389a20c8fa5948f18eb2e82c3a0cc171cf0e645cb6d8909f325fb2758e725, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1793948, pubkey: 0xb9314e259b0a41da67080c848894d9228c71f43c8e03cc1f9f344f22da18d7e49a58c6a1b3115b40389b4f26010eb21b, service: val_mon, service: beacon
Aug 14 21:48:36.985 INFO Started monitoring validator            validator: 1794111, pubkey: 0x834a37a2109fb99beb8c2517e3fa4e1abdc4164c97bf6c7051b75ca2f6eb724d0bcf5caefb85c05d9561c8c9cac0bcd7, service: val_mon, service: beacon
